Date,Daily_growth_confirmed_pct,Confirmed,Country,Daily_growth_recovered_pct,Recovered,Daily_growth_deaths_pct,Deaths
2020-01-22,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-01-23,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-01-24,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-01-25,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-01-26,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-01-27,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-01-28,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-01-29,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-01-30,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-01-31,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-01,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-02,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-03,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-04,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-05,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-06,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-07,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-08,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-09,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-10,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-11,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-12,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-13,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-14,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-15,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-16,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-17,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-18,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-19,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-20,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-21,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-22,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-23,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-24,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-25,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-26,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-27,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-28,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-02-29,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-03-01,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-03-02,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-03-03,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-03-04,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-03-05,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-03-06,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-03-07,0.0,0,PARAGUAY,0.0,0,0.0,0
2020-03-08,inf,1,PARAGUAY,0.0,0,0.0,0
2020-03-09,0.0,1,PARAGUAY,0.0,0,0.0,0
2020-03-10,0.0,1,PARAGUAY,0.0,0,0.0,0
2020-03-11,400.0,5,PARAGUAY,0.0,0,0.0,0
2020-03-12,0.0,5,PARAGUAY,0.0,0,0.0,0
2020-03-13,19.999999999999996,6,PARAGUAY,0.0,0,0.0,0
2020-03-14,0.0,6,PARAGUAY,0.0,0,0.0,0
2020-03-15,0.0,6,PARAGUAY,0.0,0,0.0,0
2020-03-16,33.33333333333333,8,PARAGUAY,0.0,0,0.0,0
2020-03-17,12.5,9,PARAGUAY,0.0,0,0.0,0
2020-03-18,22.222222222222232,11,PARAGUAY,0.0,0,0.0,0
2020-03-19,0.0,11,PARAGUAY,0.0,0,0.0,0
2020-03-20,18.181818181818187,13,PARAGUAY,0.0,0,0.0,0
2020-03-21,38.46153846153846,18,PARAGUAY,0.0,0,inf,1
2020-03-22,22.222222222222232,22,PARAGUAY,0.0,0,0.0,1
2020-03-23,0.0,22,PARAGUAY,0.0,0,0.0,1
2020-03-24,22.72727272727273,27,PARAGUAY,0.0,0,100.0,2
2020-03-25,37.037037037037045,37,PARAGUAY,0.0,0,50.0,3
2020-03-26,10.81081081081081,41,PARAGUAY,0.0,0,0.0,3
2020-03-27,26.82926829268293,52,PARAGUAY,inf,1,0.0,3
2020-03-28,7.692307692307687,56,PARAGUAY,0.0,1,0.0,3
2020-03-29,5.35714285714286,59,PARAGUAY,0.0,1,0.0,3
2020-03-30,8.47457627118644,64,PARAGUAY,0.0,1,0.0,3
2020-03-31,1.5625,65,PARAGUAY,0.0,1,0.0,3
2020-04-01,6.153846153846154,69,PARAGUAY,0.0,1,0.0,3
2020-04-02,11.594202898550732,77,PARAGUAY,100.0,2,0.0,3
2020-04-03,19.480519480519476,92,PARAGUAY,200.0,6,0.0,3
2020-04-04,4.347826086956519,96,PARAGUAY,100.0,12,0.0,3
2020-04-05,8.333333333333325,104,PARAGUAY,0.0,12,0.0,3
2020-04-06,8.653846153846146,113,PARAGUAY,0.0,12,66.66666666666667,5
2020-04-07,1.7699115044247815,115,PARAGUAY,25.0,15,0.0,5
2020-04-08,3.4782608695652195,119,PARAGUAY,0.0,15,0.0,5
2020-04-09,4.201680672268915,124,PARAGUAY,19.999999999999996,18,0.0,5
2020-04-10,4.0322580645161255,129,PARAGUAY,0.0,18,19.999999999999996,6
2020-04-11,3.100775193798455,133,PARAGUAY,0.0,18,0.0,6
2020-04-12,0.7518796992481258,134,PARAGUAY,22.222222222222232,22,0.0,6
2020-04-13,9.701492537313428,147,PARAGUAY,0.0,22,0.0,6
2020-04-14,8.163265306122458,159,PARAGUAY,0.0,22,16.666666666666675,7
2020-01-22,0.0,0,SENEGAL,0.0,0,0.0,0
2020-01-23,0.0,0,SENEGAL,0.0,0,0.0,0
2020-01-24,0.0,0,SENEGAL,0.0,0,0.0,0
2020-01-25,0.0,0,SENEGAL,0.0,0,0.0,0
2020-01-26,0.0,0,SENEGAL,0.0,0,0.0,0
2020-01-27,0.0,0,SENEGAL,0.0,0,0.0,0
2020-01-28,0.0,0,SENEGAL,0.0,0,0.0,0
2020-01-29,0.0,0,SENEGAL,0.0,0,0.0,0
2020-01-30,0.0,0,SENEGAL,0.0,0,0.0,0
2020-01-31,0.0,0,SENEGAL,0.0,0,0.0,0
2020-02-01,0.0,0,SENEGAL,0.0,0,0.0,0
2020-02-02,0.0,0,SENEGAL,0.0,0,0.0,0
2020-02-03,0.0,0,SENEGAL,0.0,0,0.0,0
2020-02-04,0.0,0,SENEGAL,0.0,0,0.0,0
2020-02-05,0.0,0,SENEGAL,0.0,0,0.0,0
2020-02-06,0.0,0,SENEGAL,0.0,0,0.0,0
2020-02-07,0.0,0,SENEGAL,0.0,0,0.0,0
2020-02-08,0.0,0,SENEGAL,0.0,0,0.0,0
2020-02-09,0.0,0,SENEGAL,0.0,0,0.0,0
